film_title,imdb_id,url,imdbRating,budget,release_day,release_month,release_year,duration_minutes,main_spoken_language,total_number_of_spoken_languages,total_number_of_genres,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_realitytv,genre_romance,genre_scifi,genre_shortfilm,genre_sport,genre_thriller,genre_war,genre_western,main_actor1_name,main_actor1_is_female,main_actor1_known_for,main_actor1_star_meter,main_actor2_name,main_actor2_is_female,main_actor2_known_for,main_actor2_star_meter,main_actor3_name,main_actor3_is_female,main_actor3_known_for,main_actor3_star_meter,total_number_of_actors,main_director_name,main_director_is_female,total_number_of_directors,main_producer_name,total_number_of_producers,editor_name,main_production_company,total_number_of_production_companies,main_production_country,total_number_of_production_countries
11:14,tt0331811,http://www.imdb.com/title/tt0331811/,7.2,6000000,16,5,2003,86,English,1,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Henry Thomas,0,E.T. the Extra-Terrestrial (1982),1896,Blake Heron,0,We Were Soldiers (2002),28824,Barbara Hershey,1,Black Swan (2010),1142,13,Greg Marcks,0,1,John Morrissey,2,Dan Lebental,Firm Films,3,Canada,2
1,tt2395385,http://www.imdb.com/title/tt2395385/,5.5,,20,9,2013,95,English,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Rhys Wakefield,0,The Purge (I) (2013),6743,Logan Miller,0,Scouts Guide to the Zombie Apocalypse (2015),5395,Ashley Hinshaw,1,Chronicle (2012),4266,13,Dennis Iliadis,0,1,none,0,Yorgos Mavropsaridis,Process Productions,1,United States of America,1
9,tt0472033,http://www.imdb.com/title/tt0472033/,7.1,30000000,19,8,2009,79,English,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christopher Plummer,0,Beginners (2010),1541,Martin Landau,0,Ed Wood (1994),4184,John C. Reilly,0,Chicago (2002),530,10,Shane Acker,0,1,Timur Bekmambetov,7,Nick Kenway,Focus Films,5,United States of America,1
10,tt0078721,http://www.imdb.com/title/tt0078721/,6,,4,10,1979,122,English,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Dudley Moore,0,Arthur (1981),7888,Julie Andrews,1,The Sound of Music (1965),187,Bo Derek,1,"b""Ghosts Cant Do It (1989)""",2682,15,Blake Edwards,0,1,Blake Edwards,2,Ralph E. Winters,Orion Pictures Corporation,2,United States of America,1
21,tt0478087,http://www.imdb.com/title/tt0478087/,6.8,35000000,27,3,2008,123,English,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jim Sturgess,0,21 (2008),2533,Kevin Spacey,0,The Usual Suspects (1995),625,Kate Bosworth,1,Superman Returns (2006),1541,13,Robert Luketic,0,1,Dana Brunetti,2,Elliot Graham,Columbia Pictures,2,United States of America,1
42,tt0453562,http://www.imdb.com/title/tt0453562/,7.6,40000000,12,4,2013,128,No Language,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Chadwick Boseman,0,Black Panther (2018),606,T.R. Knight,0,42 (2013),3045,Harrison Ford,0,Raiders of the Lost Ark (1981),413,21,Brian Helgeland,0,1,Thomas Tull,1,Kevin Stitt,Warner Bros.,1,United States of America,1
54,tt0120577,http://www.imdb.com/title/tt0120577/,5.7,13000000,28,8,1998,106,English,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ryan Phillippe,0,Crash (I) (2004),1017,Salma Hayek,1,Frida (2002),704,Breckin Meyer,0,Road Trip (2000),4381,34,Mark Christopher,0,1,Ira Deutchman,3,Lee Percy,Redeemable Features,4,United States of America,1
300,tt0416449,http://www.imdb.com/title/tt0416449/,7.8,65000000,9,12,2006,117,English,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Gerard Butler,0,300 (2006),371,Lena Headey,1,Game of Thrones (2011),51,Dominic West,0,The Wire (2002),1102,87,Zack Snyder,0,1,Gianni Nunnari,3,William Hoy,Virtual Studios,7,United States of America,1
1776,tt0068156,http://www.imdb.com/title/tt0068156/,7.6,,9,11,1972,142,English,1,3,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,William Daniels,0,St. Elsewhere (1982),6066,Howard Da Silva,0,1776 (1972),21984,Ken Howard,0,Michael Clayton (2007),7139,11,Peter H. Hunt,0,1,none,0,none,Columbia Pictures Corporation,1,United States of America,1
1941,tt0078723,http://www.imdb.com/title/tt0078723/,5.9,35000000,13,12,1979,113,English,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Dan Aykroyd,0,The Blues Brothers (1980),2361,Ned Beatty,0,Network (1976),5122,John Belushi,0,Saturday Night Live (1975),3472,36,Steven Spielberg,0,1,Buzz Feitshans,1,Michael Kahn,Columbia Pictures,3,United States of America,1
1984,tt0048918,http://www.imdb.com/title/tt0048918/,7,,6,3,1956,90,English,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Edmond OBrien,0,Seven Days in May (1964),10432,Jan Sterling,1,Ace in the Hole (1951),15053,Michael Redgrave,0,The Lady Vanishes (1938),15041,15,Michael Anderson,0,1,N. Peter Rathvon,1,Bill Lewthwaite,Columbia Pictures Corporation,2,United Kingdom,2
2012,tt1190080,http://www.imdb.com/title/tt1190080/,5.8,200000000,10,10,2009,158,English,9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,John Cusack,0,Grosse Pointe Blank (1997),918,Amanda Peet,1,A Lot Like Love (2005),1361,Chiwetel Ejiofor,0,12 Years a Slave (2013),2258,52,Roland Emmerich,0,1,Aaron Boyd,7,David Brenner,Columbia Pictures,4,Canada,2
¡Atame!,tt0101026,http://www.imdb.com/title/tt0101026/,7,,12,12,1989,111,Español,1,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Victoria Abril,1,High Heels (1991),14140,Antonio Banderas,0,The Mask of Zorro (1998),1249,Loles León,1,none,8933241,29,Pedro Almodóvar,0,1,Enrique Posner,1,José Salcedo,El Deseo,1,Spain,1
...altrimenti ci arrabbiamo!,tt0069697,http://www.imdb.com/title/tt0069697/,7.4,,29,3,1974,102,English,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terence Hill,0,They Call Me Trinity (1970),3345,Bud Spencer,0,They Call Me Trinity (1970),6679,Patty Shepard,1,Rest in Pieces (1987),14997,15,Marcello Fondato,0,1,Mario Cecchi Gori,1,Sergio Montanari,Rizzoli Films,3,Spain,2
(500) Days of Summer,tt1022603,http://www.imdb.com/title/tt1022603/,7.8,7500000,17,7,2009,95,English,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Joseph Gordon-Levitt,0,Inception (2010),674,Zooey Deschanel,1,New Girl (2011),651,Chloë Grace Moretz,1,none,8702632,23,Marc Webb,0,1,Steven J. Wolfe,4,Alan Edward Bell,Fox Searchlight Pictures,3,United States of America,1
*batteries not included,tt0092494,http://www.imdb.com/title/tt0092494/,6.4,,18,12,1987,106,English,1,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hume Cronyn,0,*batteries not included (1987),7743,Jessica Tandy,1,Fried Green Tomatoes (1991),6460,Frank McRae,0,Loaded Weapon 1 (1993),15183,14,Matthew Robbins,0,1,Ronald L. Schwary,1,Cynthia Scheider,Universal Pictures,2,United States of America,1
100 Rifles,tt0063970,http://www.imdb.com/title/tt0063970/,5.9,,26,3,1969,110,English,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Jim Brown,0,Mars Attacks! (1996),10741,Raquel Welch,1,The Three Musketeers (1973),659,Burt Reynolds,0,Boogie Nights (1997),308,13,Tom Gries,0,1,Marvin Schwartz,1,Robert L. Simpson,Twentieth Century Fox Film Corporation,2,United States of America,1
101 Dalmatians,tt0115433,http://www.imdb.com/title/tt0115433/,5.6,54000000,17,11,1996,103,Český,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glenn Close,1,Fatal Attraction (1987),1424,Jeff Daniels,0,The Squid and the Whale (2005),2493,Joely Richardson,1,Nip/Tuck (2003),1749,5,Stephen Herek,0,1,John Hughes,2,Larry Bock,Walt Disney Pictures,2,United Kingdom,2
102 Dalmatians,tt0211181,http://www.imdb.com/title/tt0211181/,4.8,85000000,7,10,2000,100,English,1,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glenn Close,1,Fatal Attraction (1987),1424,Ioan Gruffudd,0,Fantastic Four (I) (2005),1823,Alice Evans,1,The Christmas Card (2006),5464,5,Kevin Lima,0,1,Edward S. Feldman,1,Gregory Perler,Walt Disney Pictures,2,United States of America,1
12 Angry Men,tt0050083,http://www.imdb.com/title/tt0050083/,8.9,340000,25,3,1957,96,English,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Henry Fonda,0,12 Angry Men (1957),2538,Martin Balsam,0,"b""All the Presidents Men (1976)""",7310,John Fiedler,0,12 Angry Men (1957),8616,17,Sidney Lumet,1,1,Henry Fonda,2,Carl Lerner,United Artists,2,United States of America,1
12 Years a Slave,tt2024544,http://www.imdb.com/title/tt2024544/,8.3,20000000,18,10,2013,134,English,1,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Chiwetel Ejiofor,0,12 Years a Slave (2013),2258,Michael Fassbender,0,Shame (2011),327,Lupita Nyongo,1,12 Years a Slave (2013),1403,93,Steve McQueen,0,1,Brad Pitt,7,Joe Walker,Plan B Entertainment,5,United States of America,2
127 Hours,tt1542344,http://www.imdb.com/title/tt1542344/,7.7,18000000,5,11,2010,94,English,1,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Franco,0,127 Hours (2010),343,Kate Mara,1,Fantastic Four (2015),330,Amber Tamblyn,1,The Sisterhood of the Traveling Pants (2005),2293,29,Danny Boyle,0,1,Danny Boyle,5,Jon Harris,Fox Searchlight Pictures,7,United Kingdom,2
13 Going on 30,tt0337563,http://www.imdb.com/title/tt0337563/,6.1,37000000,13,4,2004,98,English,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Jennifer Garner,1,Alias (2001),440,Mark Ruffalo,0,The Avengers (2012),1216,Judy Greer,1,13 Going on 30 (2004),367,50,Gary Winick,0,1,Susan Arnold,3,Susan Littenberg,Columbia Pictures,3,United States of America,1
16 Blocks,tt0450232,http://www.imdb.com/title/tt0450232/,6.6,55000000,1,3,2006,105,English,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bruce Willis,0,Die Hard (1988),254,Yasiin Bey,0,The Italian Job (2003),4768,David Morse,0,The Green Mile (1999),2601,21,Richard Donner,0,1,Randall Emmett,4,Steve Mirkovich,Donners Company,8,United States of America,2
1942: A Love Story,tt0109010,http://www.imdb.com/title/tt0109010/,7.3,,15,4,1994,157,हिन्दी,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Anil Kapoor,0,Slumdog Millionaire (2008),10393,Jackie Shroff,0,Devdas (I) (2002),15578,Manisha Koirala,1,none,9206981,6,Vidhu Vinod Chopra,0,1,Vidhu Vinod Chopra,1,none,Vidhu Vinod Chopra Productions,1,India,1
2 Days in Paris,tt0841044,http://www.imdb.com/title/tt0841044/,6.9,,9,2,2007,96,English,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Julie Delpy,1,Three Colors: White (1994),4599,Adam Goldberg,0,Saving Private Ryan (1998),2867,Daniel Brühl,0,none,9253564,23,Julie Delpy,1,1,Julie Delpy,3,Julie Delpy,3L Filmproduktion GmbH,4,France,2
2 Fast 2 Furious,tt0322259,http://www.imdb.com/title/tt0322259/,5.7,76000000,5,6,2003,107,English,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paul Walker,0,The Fast and the Furious (2001),1737,Tyrese Gibson,0,Baby Boy (2001),6542,Eva Mendes,1,Hitch (I) (2005),1267,40,John Singleton,0,1,Neal H. Moritz,1,Dallas Puett,Mikona Productions GmbH & Co. KG,4,United States of America,1
2 Guns,tt1272878,http://www.imdb.com/title/tt1272878/,6.8,61000000,2,8,2013,109,Español,2,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Denzel Washington,0,Fences (2016),341,Mark Wahlberg,0,The Departed (2006),263,Paula Patton,1,Precious (II) (2009),510,44,Baltasar Kormákur,0,1,George Furla,7,Michael Tronick,Universal Studios,4,United States of America,1
2-Headed Shark Attack,tt2043757,http://www.imdb.com/title/tt2043757/,2.5,,17,1,2012,90,English,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Carmen Electra,1,Scary Movie 4 (2006),3320,Charlie OConnell,0,Cruel Intentions (1999),12748,Brooke Hogan,1,Sand Sharks (2012),12266,10,Christopher Ray,0,1,Paul Bales,2,none,The Asylum,1,United States of America,1
"20,000 Leagues Under the Sea",tt0046672,http://www.imdb.com/title/tt0046672/,7.2,5000000,23,12,1954,127,English,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kirk Douglas,0,Spartacus (1960),1804,James Mason,0,Lolita (1962),4396,Paul Lukas,0,Watch on the Rhine (1943),16666,20,Richard Fleischer,0,1,Walt Disney,1,Elmo Williams,Walt Disney Productions,1,United States of America,1
200 Cigarettes,tt0137338,http://www.imdb.com/title/tt0137338/,5.8,6000000,26,2,1999,101,English,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Ben Affleck,0,Argo (2012),197,Casey Affleck,0,Gone Baby Gone (2007),1432,Dave Chappelle,0,"b""Chappelles Show (2003)""",1587,11,Risa Bramon Garcia,1,1,David Gale,1,none,Paramount Pictures,1,United States of America,1
2001: A Space Odyssey,tt0062622,http://www.imdb.com/title/tt0062622/,8.3,10500000,5,4,1968,149,English,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Keir Dullea,0,2001: A Space Odyssey (1968),6310,Gary Lockwood,0,2001: A Space Odyssey (1968),9725,William Sylvester,0,2001: A Space Odyssey (1968),19700,60,Stanley Kubrick,0,1,Stanley Kubrick,2,Ray Lovejoy,Stanley Kubrick Productions,2,United Kingdom,2
21 & Over,tt1711425,http://www.imdb.com/title/tt1711425/,5.8,13000000,1,3,2013,93,English,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Miles Teller,0,The Spectacular Now (2013),702,Skylar Astin,0,Pitch Perfect (2012),2276,Justin Chon,1,Twilight (I) (2008),7246,13,Jon Lucas,0,2,David Hoberman,4,John Refoua,Relativity Media,4,United States of America,1
21 Grams,tt0315733,http://www.imdb.com/title/tt0315733/,7.8,20000000,6,9,2003,124,English,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sean Penn,0,Mystic River (2003),828,Naomi Watts,1,Mulholland Drive (2001),52,Benicio del Toro,0,none,8740061,27,Alejandro González Iñárritu,0,1,Alejandro González Iñárritu,3,Stephen Mirrione,This Is That Productions,3,United States of America,1
21 Jump Street,tt1232829,http://www.imdb.com/title/tt1232829/,7.2,42000000,12,3,2012,109,English,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Channing Tatum,0,21 Jump Street (2012),573,Jonah Hill,0,21 Jump Street (2012),35,Brie Larson,1,Room (I) (2015),5,19,Phil Lord,0,2,Stephen J. Cannell,2,Joel Negron,Columbia Pictures,5,United States of America,1
23 Paces to Baker Street,tt0048919,http://www.imdb.com/title/tt0048919/,7,,18,5,1956,103,English,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Van Johnson,0,In the Good Old Summertime (1949),12755,Vera Miles,1,The Man Who Shot Liberty Valance (1962),4036,Cecil Parker,0,The Lady Vanishes (1938),19968,10,Henry Hathaway,0,1,Henry Ephron,1,James B. Clark,Twentieth Century Fox Film Corporation,1,United States of America,1
24 Hour Party People,tt0274309,http://www.imdb.com/title/tt0274309/,7.4,,13,2,2002,117,English,1,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steve Coogan,0,Philomena (2013),2284,Paddy Considine,0,"b""Dead Mans Shoes (2004)""",3565,Sean Harris,0,Mission: Impossible - Fallout (2018),2127,51,Michael Winterbottom,0,1,Andrew Eaton,1,Trevor Waite,United Artists,7,United Kingdom,1
25th Hour,tt0307901,http://www.imdb.com/title/tt0307901/,7.7,15000000,16,12,2002,135,English,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Edward Norton,0,American History X (1998),818,Philip Seymour Hoffman,0,The Master (2012),1232,Barry Pepper,0,Saving Private Ryan (1998),3406,17,Spike Lee,0,1,Tobey Maguire,4,Barry Alexander Brown,40 Acres & A Mule Filmworks,2,United States of America,1
27 Dresses,tt0988595,http://www.imdb.com/title/tt0988595/,6.1,30000000,10,1,2008,111,English,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Katherine Heigl,1,One for the Money (2012),564,James Marsden,0,X-Men (2000),1572,Malin Åkerman,1,none,8737608,31,Anne Fletcher,1,1,Roger Birnbaum,3,Priscilla Nedd-Friendly,Spyglass Entertainment,3,United States of America,1
28 Days Later,tt0289043,http://www.imdb.com/title/tt0289043/,7.7,5000000,31,10,2002,113,Español,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Cillian Murphy,0,28 Days Later... (2002),232,Naomie Harris,1,Moonlight (I) (2016),2053,Noah Huntley,0,28 Days Later... (2002),17682,22,Danny Boyle,0,1,Andrew Macdonald,1,Chris Gill,DNA Films,2,United Kingdom,1
